module,content,type,combined
Desludging Service,47 | Update & Reschedule trips | PSSO can update and reschedule the trips accordingly,Table,[Desludging Service] 47 | Update & Reschedule trips | PSSO can update and reschedule the trips accordingly
Desludging Service,"48 | Faecal Sludge Treatment Plant (FSTP)/Septage Treatment Plant Operator (STP) | Plant operator will perform the vehicle log entry (Vehicle No., PSSO Name, Locality, Septage dumped, Trips, in and out time, comments and can upload any supporting documents)",Table,"[Desludging Service] 48 | Faecal Sludge Treatment Plant (FSTP)/Septage Treatment Plant Operator (STP) | Plant operator will perform the vehicle log entry (Vehicle No., PSSO Name, Locality, Septage dumped, Trips, in and out time, comments and can upload any supporting documents)"
Desludging Service,49 | Faecal Sludge Treatment Plant (FSTP)/Septage Treatment Plant Operator (STP) | Mapping of the Faecal Sludge Treatment Plant (FSTP)/Septage Treatment Plant Operator (STP) with the ULBs or villages so as to cater the demand of the Urban Rural Convergence. Mapping of villages with Rural FSTP/STP,Table,[Desludging Service] 49 | Faecal Sludge Treatment Plant (FSTP)/Septage Treatment Plant Operator (STP) | Mapping of the Faecal Sludge Treatment Plant (FSTP)/Septage Treatment Plant Operator (STP) with the ULBs or villages so as to cater the demand of the Urban Rural Convergence. Mapping of villages with Rural FSTP/STP
Desludging Service,50 | Dashboard | There is a dashboard for showcasing the data of the service over the dashboard having several KPIs a) Total Requests b) Total Sludge Treated c) Average Desludging Service Cost d) This FY Collection till Date e) SLA Compliance f) Average Citizen Rating g) Top 3 Performing States h) Bottom 3 Performing States i) Desludging Service Collection By Usage Type j) FSTP - Capacity Utilization k) Monthly Septage Collected l) Total Cumulative Collection,Table,[Desludging Service] 50 | Dashboard | There is a dashboard for showcasing the data of the service over the dashboard having several KPIs a) Total Requests b) Total Sludge Treated c) Average Desludging Service Cost d) This FY Collection till Date e) SLA Compliance f) Average Citizen Rating g) Top 3 Performing States h) Bottom 3 Performing States i) Desludging Service Collection By Usage Type j) FSTP - Capacity Utilization k) Monthly Septage Collected l) Total Cumulative Collection
Desludging Service,51 | Reports | Desludging Reports,Table,[Desludging Service] 51 | Reports | Desludging Reports
Desludging Service,52 | QR code (Future Roadmap) | QR code to be added as an add on feature so that once the citizen enters the data or requests for the desludging service the data can be stored and can used to request for the desludging without entering the data again and can be helpful to have a periodic desludging in the near future.,Table,[Desludging Service] 52 | QR code (Future Roadmap) | QR code to be added as an add on feature so that once the citizen enters the data or requests for the desludging service the data can be stored and can used to request for the desludging without entering the data again and can be helpful to have a periodic desludging in the near future.
NMAM - Compliant Municipal Finance and Accounting,NMAM - Compliant Municipal Finance and Accounting,Paragraph,[NMAM - Compliant Municipal Finance and Accounting] NMAM - Compliant Municipal Finance and Accounting
NMAM - Compliant Municipal Finance and Accounting,"NMAM - Compliant Municipal Finance and Accounting is a key module in web-based integrated ERP software that enables municipalities to create and manage financial transactions like budget, revenue demand, receipt, advances, deposits, bills, payments, asset creation(capitalization), fund transfer and also reconciliations and reporting.",Paragraph,"[NMAM - Compliant Municipal Finance and Accounting] NMAM - Compliant Municipal Finance and Accounting is a key module in web-based integrated ERP software that enables municipalities to create and manage financial transactions like budget, revenue demand, receipt, advances, deposits, bills, payments, asset creation(capitalization), fund transfer and also reconciliations and reporting."
NMAM - Compliant Municipal Finance and Accounting,NMAM - Compliant Municipal Finance and Accounting enables municipalities to maintain financial records of ULBs following established procedures and practices. The module follows a fund based double-entry accrual accounting system designed to synch with the standards outlined in the National Municipal Accounting Manual.,Paragraph,[NMAM - Compliant Municipal Finance and Accounting] NMAM - Compliant Municipal Finance and Accounting enables municipalities to maintain financial records of ULBs following established procedures and practices. The module follows a fund based double-entry accrual accounting system designed to synch with the standards outlined in the National Municipal Accounting Manual.
NMAM - Compliant Municipal Finance and Accounting,Enhancement of transparency and accountability,Paragraph,[NMAM - Compliant Municipal Finance and Accounting] Enhancement of transparency and accountability
NMAM - Compliant Municipal Finance and Accounting,Support municipal decision-making through analytics,Paragraph,[NMAM - Compliant Municipal Finance and Accounting] Support municipal decision-making through analytics
NMAM - Compliant Municipal Finance and Accounting,Integration and automation of financial systems,Paragraph,[NMAM - Compliant Municipal Finance and Accounting] Integration and automation of financial systems
NMAM - Compliant Municipal Finance and Accounting,"Ensure interoperability with other urban service modules (e.g., water tax, trade license, GIS)",Paragraph,"[NMAM - Compliant Municipal Finance and Accounting] Ensure interoperability with other urban service modules (e.g., water tax, trade license, GIS)"
NMAM - Compliant Municipal Finance and Accounting,Standardisation of accounting practices,Paragraph,[NMAM - Compliant Municipal Finance and Accounting] Standardisation of accounting practices
NMAM - Compliant Municipal Finance and Accounting,Adoption of Accrual Based Double Entry Accounting System,Paragraph,[NMAM - Compliant Municipal Finance and Accounting] Adoption of Accrual Based Double Entry Accounting System
NMAM - Compliant Municipal Finance and Accounting,Accurate and timely financial reporting,Paragraph,[NMAM - Compliant Municipal Finance and Accounting] Accurate and timely financial reporting
